,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,USGS,2085070,2018-11-07 00:00,EST,330,P,3.08,P
1,USGS,2085070,2018-11-07 00:15,EST,323,P,3.06,P
2,USGS,2085070,2018-11-07 00:30,EST,326,P,3.07,P
3,USGS,2085070,2018-11-07 00:45,EST,316,P,3.04,P
4,USGS,2085070,2018-11-07 01:00,EST,316,P,3.04,P
5,USGS,2085070,2018-11-07 01:15,EST,316,P,3.04,P
6,USGS,2085070,2018-11-07 01:30,EST,316,P,3.04,P
7,USGS,2085070,2018-11-07 01:45,EST,309,P,3.02,P
8,USGS,2085070,2018-11-07 02:00,EST,312,P,3.03,P
9,USGS,2085070,2018-11-07 02:15,EST,309,P,3.02,P
10,USGS,2085070,2018-11-07 02:30,EST,309,P,3.02,P
11,USGS,2085070,2018-11-07 02:45,EST,306,P,3.01,P
12,USGS,2085070,2018-11-07 03:00,EST,302,P,3.0,P
13,USGS,2085070,2018-11-07 03:15,EST,302,P,3.0,P
14,USGS,2085070,2018-11-07 03:30,EST,302,P,3.0,P
15,USGS,2085070,2018-11-07 03:45,EST,299,P,2.99,P
16,USGS,2085070,2018-11-07 04:00,EST,299,P,2.99,P
17,USGS,2085070,2018-11-07 04:15,EST,292,P,2.97,P
18,USGS,2085070,2018-11-07 04:30,EST,292,P,2.97,P
19,USGS,2085070,2018-11-07 04:45,EST,292,P,2.97,P
20,USGS,2085070,2018-11-07 05:00,EST,289,P,2.96,P
21,USGS,2085070,2018-11-07 05:15,EST,285,P,2.95,P
22,USGS,2085070,2018-11-07 05:30,EST,285,P,2.95,P
23,USGS,2085070,2018-11-07 05:45,EST,285,P,2.95,P
24,USGS,2085070,2018-11-07 06:00,EST,282,P,2.94,P
25,USGS,2085070,2018-11-07 06:15,EST,282,P,2.94,P
26,USGS,2085070,2018-11-07 06:30,EST,282,P,2.94,P
27,USGS,2085070,2018-11-07 06:45,EST,276,P,2.92,P
28,USGS,2085070,2018-11-07 07:00,EST,276,P,2.92,P
29,USGS,2085070,2018-11-07 07:15,EST,272,P,2.91,P
30,USGS,2085070,2018-11-07 07:30,EST,269,P,2.9,P
31,USGS,2085070,2018-11-07 07:45,EST,269,P,2.9,P
32,USGS,2085070,2018-11-07 08:00,EST,266,P,2.89,P
33,USGS,2085070,2018-11-07 08:15,EST,269,P,2.9,P
34,USGS,2085070,2018-11-07 08:30,EST,266,P,2.89,P
35,USGS,2085070,2018-11-07 08:45,EST,263,P,2.88,P
36,USGS,2085070,2018-11-07 09:00,EST,263,P,2.88,P
37,USGS,2085070,2018-11-07 09:15,EST,257,P,2.86,P
38,USGS,2085070,2018-11-07 09:30,EST,260,P,2.87,P
39,USGS,2085070,2018-11-07 09:45,EST,257,P,2.86,P
40,USGS,2085070,2018-11-07 10:00,EST,257,P,2.86,P
41,USGS,2085070,2018-11-07 10:15,EST,254,P,2.85,P
42,USGS,2085070,2018-11-07 10:30,EST,251,P,2.84,P
43,USGS,2085070,2018-11-07 10:45,EST,251,P,2.84,P
44,USGS,2085070,2018-11-07 11:00,EST,251,P,2.84,P
45,USGS,2085070,2018-11-07 11:15,EST,248,P,2.83,P
46,USGS,2085070,2018-11-07 11:30,EST,248,P,2.83,P
47,USGS,2085070,2018-11-07 11:45,EST,245,P,2.82,P
48,USGS,2085070,2018-11-07 12:00,EST,245,P,2.82,P
49,USGS,2085070,2018-11-07 12:15,EST,242,P,2.81,P
50,USGS,2085070,2018-11-07 12:30,EST,242,P,2.81,P
51,USGS,2085070,2018-11-07 12:45,EST,239,P,2.8,P
52,USGS,2085070,2018-11-07 13:00,EST,239,P,2.8,P
53,USGS,2085070,2018-11-07 13:15,EST,242,P,2.81,P
54,USGS,2085070,2018-11-07 13:30,EST,239,P,2.8,P
55,USGS,2085070,2018-11-07 13:45,EST,233,P,2.78,P
56,USGS,2085070,2018-11-07 14:00,EST,233,P,2.78,P
57,USGS,2085070,2018-11-07 14:15,EST,233,P,2.78,P
58,USGS,2085070,2018-11-07 14:30,EST,231,P,2.77,P
59,USGS,2085070,2018-11-07 14:45,EST,231,P,2.77,P
60,USGS,2085070,2018-11-07 15:00,EST,231,P,2.77,P
61,USGS,2085070,2018-11-07 15:15,EST,228,P,2.76,P
62,USGS,2085070,2018-11-07 15:30,EST,228,P,2.76,P
63,USGS,2085070,2018-11-07 15:45,EST,225,P,2.75,P
64,USGS,2085070,2018-11-07 16:00,EST,225,P,2.75,P
65,USGS,2085070,2018-11-07 16:15,EST,222,P,2.74,P
66,USGS,2085070,2018-11-07 16:30,EST,222,P,2.74,P
67,USGS,2085070,2018-11-07 16:45,EST,220,P,2.73,P
68,USGS,2085070,2018-11-07 17:00,EST,220,P,2.73,P
69,USGS,2085070,2018-11-07 17:15,EST,220,P,2.73,P
70,USGS,2085070,2018-11-07 17:30,EST,217,P,2.72,P
71,USGS,2085070,2018-11-07 17:45,EST,217,P,2.72,P
72,USGS,2085070,2018-11-07 18:00,EST,214,P,2.71,P
73,USGS,2085070,2018-11-07 18:15,EST,214,P,2.71,P
74,USGS,2085070,2018-11-07 18:30,EST,212,P,2.7,P
75,USGS,2085070,2018-11-07 18:45,EST,212,P,2.7,P
76,USGS,2085070,2018-11-07 19:00,EST,212,P,2.7,P
77,USGS,2085070,2018-11-07 19:15,EST,212,P,2.7,P
78,USGS,2085070,2018-11-07 19:30,EST,209,P,2.69,P
79,USGS,2085070,2018-11-07 19:45,EST,209,P,2.69,P
80,USGS,2085070,2018-11-07 20:00,EST,207,P,2.68,P
81,USGS,2085070,2018-11-07 20:15,EST,207,P,2.68,P
82,USGS,2085070,2018-11-07 20:30,EST,207,P,2.68,P
83,USGS,2085070,2018-11-07 20:45,EST,204,P,2.67,P
84,USGS,2085070,2018-11-07 21:00,EST,204,P,2.67,P
85,USGS,2085070,2018-11-07 21:15,EST,202,P,2.66,P
86,USGS,2085070,2018-11-07 21:30,EST,202,P,2.66,P
87,USGS,2085070,2018-11-07 21:45,EST,202,P,2.66,P
88,USGS,2085070,2018-11-07 22:00,EST,199,P,2.65,P
89,USGS,2085070,2018-11-07 22:15,EST,199,P,2.65,P
90,USGS,2085070,2018-11-07 22:30,EST,197,P,2.64,P
91,USGS,2085070,2018-11-07 22:45,EST,197,P,2.64,P
92,USGS,2085070,2018-11-07 23:00,EST,197,P,2.64,P
93,USGS,2085070,2018-11-07 23:15,EST,194,P,2.63,P
94,USGS,2085070,2018-11-07 23:30,EST,194,P,2.63,P
95,USGS,2085070,2018-11-07 23:45,EST,192,P,2.62,P
96,USGS,2085070,2018-11-08 00:00,EST,192,P,2.62,P
97,USGS,2085070,2018-11-08 00:15,EST,192,P,2.62,P
98,USGS,2085070,2018-11-08 00:30,EST,192,P,2.62,P
99,USGS,2085070,2018-11-08 00:45,EST,189,P,2.61,P
100,USGS,2085070,2018-11-08 01:00,EST,189,P,2.61,P
101,USGS,2085070,2018-11-08 01:15,EST,187,P,2.6,P
102,USGS,2085070,2018-11-08 01:30,EST,187,P,2.6,P
103,USGS,2085070,2018-11-08 01:45,EST,187,P,2.6,P
104,USGS,2085070,2018-11-08 02:00,EST,187,P,2.6,P
105,USGS,2085070,2018-11-08 02:15,EST,187,P,2.6,P
106,USGS,2085070,2018-11-08 02:30,EST,185,P,2.59,P
107,USGS,2085070,2018-11-08 02:45,EST,185,P,2.59,P
108,USGS,2085070,2018-11-08 03:00,EST,182,P,2.58,P
109,USGS,2085070,2018-11-08 03:15,EST,185,P,2.59,P
110,USGS,2085070,2018-11-08 03:30,EST,182,P,2.58,P
111,USGS,2085070,2018-11-08 03:45,EST,182,P,2.58,P
112,USGS,2085070,2018-11-08 04:00,EST,180,P,2.57,P
113,USGS,2085070,2018-11-08 04:15,EST,180,P,2.57,P
114,USGS,2085070,2018-11-08 04:30,EST,180,P,2.57,P
115,USGS,2085070,2018-11-08 04:45,EST,180,P,2.57,P
116,USGS,2085070,2018-11-08 05:00,EST,180,P,2.57,P
117,USGS,2085070,2018-11-08 05:15,EST,178,P,2.56,P
118,USGS,2085070,2018-11-08 05:30,EST,178,P,2.56,P
119,USGS,2085070,2018-11-08 05:45,EST,178,P,2.56,P
120,USGS,2085070,2018-11-08 06:00,EST,178,P,2.56,P
121,USGS,2085070,2018-11-08 06:15,EST,176,P,2.55,P
122,USGS,2085070,2018-11-08 06:30,EST,176,P,2.55,P
123,USGS,2085070,2018-11-08 06:45,EST,176,P,2.55,P
124,USGS,2085070,2018-11-08 07:00,EST,173,P,2.54,P
125,USGS,2085070,2018-11-08 07:15,EST,173,P,2.54,P
126,USGS,2085070,2018-11-08 07:30,EST,173,P,2.54,P
127,USGS,2085070,2018-11-08 07:45,EST,173,P,2.54,P
128,USGS,2085070,2018-11-08 08:00,EST,173,P,2.54,P
129,USGS,2085070,2018-11-08 08:15,EST,173,P,2.54,P
130,USGS,2085070,2018-11-08 08:30,EST,173,P,2.54,P
131,USGS,2085070,2018-11-08 08:45,EST,171,P,2.53,P
132,USGS,2085070,2018-11-08 09:00,EST,171,P,2.53,P
133,USGS,2085070,2018-11-08 09:15,EST,171,P,2.53,P
134,USGS,2085070,2018-11-08 09:30,EST,169,P,2.52,P
135,USGS,2085070,2018-11-08 09:45,EST,169,P,2.52,P
136,USGS,2085070,2018-11-08 10:00,EST,169,P,2.52,P
137,USGS,2085070,2018-11-08 10:15,EST,169,P,2.52,P
138,USGS,2085070,2018-11-08 10:30,EST,169,P,2.52,P
139,USGS,2085070,2018-11-08 10:45,EST,167,P,2.51,P
140,USGS,2085070,2018-11-08 11:00,EST,167,P,2.51,P
141,USGS,2085070,2018-11-08 11:15,EST,167,P,2.51,P
142,USGS,2085070,2018-11-08 11:30,EST,167,P,2.51,P
143,USGS,2085070,2018-11-08 11:45,EST,165,P,2.5,P
144,USGS,2085070,2018-11-08 12:00,EST,165,P,2.5,P
145,USGS,2085070,2018-11-08 12:15,EST,165,P,2.5,P
146,USGS,2085070,2018-11-08 12:30,EST,165,P,2.5,P
147,USGS,2085070,2018-11-08 12:45,EST,165,P,2.5,P
148,USGS,2085070,2018-11-08 13:00,EST,163,P,2.49,P
149,USGS,2085070,2018-11-08 13:15,EST,163,P,2.49,P
150,USGS,2085070,2018-11-08 13:30,EST,163,P,2.49,P
151,USGS,2085070,2018-11-08 13:45,EST,160,P,2.48,P
152,USGS,2085070,2018-11-08 14:00,EST,160,P,2.48,P
153,USGS,2085070,2018-11-08 14:15,EST,160,P,2.48,P
154,USGS,2085070,2018-11-08 14:30,EST,160,P,2.48,P
155,USGS,2085070,2018-11-08 14:45,EST,158,P,2.47,P
156,USGS,2085070,2018-11-08 15:00,EST,160,P,2.48,P
157,USGS,2085070,2018-11-08 15:15,EST,158,P,2.47,P
158,USGS,2085070,2018-11-08 15:30,EST,158,P,2.47,P
159,USGS,2085070,2018-11-08 15:45,EST,158,P,2.47,P
160,USGS,2085070,2018-11-08 16:00,EST,156,P,2.46,P
161,USGS,2085070,2018-11-08 16:15,EST,158,P,2.47,P
162,USGS,2085070,2018-11-08 16:30,EST,156,P,2.46,P
163,USGS,2085070,2018-11-08 16:45,EST,156,P,2.46,P
164,USGS,2085070,2018-11-08 17:00,EST,154,P,2.45,P
165,USGS,2085070,2018-11-08 17:15,EST,156,P,2.46,P
166,USGS,2085070,2018-11-08 17:30,EST,154,P,2.45,P
167,USGS,2085070,2018-11-08 17:45,EST,154,P,2.45,P
168,USGS,2085070,2018-11-08 18:00,EST,154,P,2.45,P
169,USGS,2085070,2018-11-08 18:15,EST,154,P,2.45,P
170,USGS,2085070,2018-11-08 18:30,EST,154,P,2.45,P
171,USGS,2085070,2018-11-08 18:45,EST,154,P,2.45,P
172,USGS,2085070,2018-11-08 19:00,EST,152,P,2.44,P
173,USGS,2085070,2018-11-08 19:15,EST,152,P,2.44,P
174,USGS,2085070,2018-11-08 19:30,EST,152,P,2.44,P
175,USGS,2085070,2018-11-08 19:45,EST,150,P,2.43,P
176,USGS,2085070,2018-11-08 20:00,EST,150,P,2.43,P
177,USGS,2085070,2018-11-08 20:15,EST,150,P,2.43,P
178,USGS,2085070,2018-11-08 20:30,EST,150,P,2.43,P
179,USGS,2085070,2018-11-08 20:45,EST,150,P,2.43,P
180,USGS,2085070,2018-11-08 21:00,EST,148,P,2.42,P
181,USGS,2085070,2018-11-08 21:15,EST,148,P,2.42,P
